Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.48.15-106.75.169.53-49264-443-6,172.16.48.15,49264,106.75.169.53,443,6,06/03/2023 03:58:43 下午,127928,2,2,1065.0,292.0,1065.0,0.0,532.5,753.0687219636732,292.0,0.0,146.0,206.47518010647187,10607.529235194797,31.267588018260273,42642.666666666664,39778.85840912649,79919.0,762.0,127928.0,127928.0,0.0,127928.0,127928.0,79919.0,79919.0,0.0,79919.0,79919.0,1,0,0,0,40,40,15.633794009130137,15.633794009130137,0.0,1065.0,484.4,543.2534399338857,295124.3,0,0,0,2,4,0,0,0,1.0,605.5,532.5,146.0,0,0,0,0,0,0,0,0,0,0,62846,65535,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-87.240.137.139-45776-443-6,172.16.48.15,45776,87.240.137.139,443,6,06/03/2023 03:58:47 下午,3514793,132,135,165722.0,5754.0,1460.0,0.0,1255.469696969697,471.3584305675279,1394.0,0.0,42.6222222222222,227.65642044788513,48786.941364683495,75.96464429057416,13213.507518796994,109881.76290393824,1459327.0,0.0,3514793.0,26830.48091603053,215671.26785473054,2419956.0,0.0,3226574.0,24078.910447761195,152318.04834273347,1459327.0,2.0,0,0,0,0,2660,2704,37.55555448073329,38.409089809840864,0.0,1460.0,639.8358208955223,710.1142145200084,504262.1976633686,0,2,0,24,266,0,0,0,1.0,642.2322097378277,1255.469696969697,42.62222222222222,0,0,0,169839,130,211304,132,165722,135,5754,64240,65535,125,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-172.217.163.42-38346-443-6,172.16.48.15,38346,172.217.163.42,443,6,06/03/2023 03:58:48 下午,3120430,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.9614059600760152,1560215.0,736177.3551746889,2080771.0,1039659.0,3120430.0,1560215.0,736177.3551746889,2080771.0,1039659.0,0,0,0,0,0,0,0,0,0,120,0,0.9614059600760152,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-10.128.1.114-43877-53-17,172.16.48.15,43877,10.128.1.114,53,17,06/03/2023 03:58:47 下午,3866,1,1,27.0,107.0,27.0,27.0,27.0,0.0,107.0,107.0,107.0,0.0,34661.148473874804,517.3305742369374,3866.0,0.0,3866.0,3866.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,258.6652871184687,258.6652871184687,27.0,107.0,53.66666666666667,46.188021535170066,2133.3333333333335,0,0,0,0,0,0,0,0,1.0,80.5,27.0,107.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-87.240.185.191-38568-443-6,172.16.48.15,38568,87.240.185.191,443,6,06/03/2023 03:58:52 下午,1467695,49,56,885.0,113953.0,409.0,0.0,18.06122448979593,67.89495813487223,5576.0,0.0,2034.8749999999995,1125.638211900657,78243.77680648908,71.54074927011402,14112.451923076922,38480.6340543002,234866.0,10.0,1467695.0,30576.97916666666,52852.239919718355,234919.0,421.0,1191471.0,21663.109090909096,41008.31059660808,224986.0,428.0,0,0,0,0,1000,1124,33.38568299271988,38.15506627739415,0.0,5576.0,1083.377358490566,1299.790638473532,1689455.7038634317,0,2,0,55,104,0,0,0,1.0,1093.695238095238,18.06122448979592,2034.875,0,0,0,114838,55,96449,0,0,0,0,64240,65535,5,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-10.128.1.114-56589-53-17,172.16.48.15,56589,10.128.1.114,53,17,06/03/2023 03:58:52 下午,300307,1,1,39.0,55.0,39.0,39.0,39.0,0.0,55.0,55.0,55.0,0.0,313.0130166795979,6.659851418714848,300307.0,0.0,300307.0,300307.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3.329925709357424,3.329925709357424,39.0,55.0,44.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,1.0,66.5,39.0,55.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-93.186.225.205-53938-443-6,172.16.48.15,53938,93.186.225.205,443,6,06/03/2023 03:58:45 下午,7159861,24,28,6174.0,14323.0,1460.0,0.0,257.25,393.76369541399697,4848.0,0.0,511.5357142857143,1083.6671445415009,2862.765073232567,7.2627108263693945,140389.431372549,523991.84566369926,3523503.0,7.0,7159861.0,311298.30434782617,755423.9513145422,3523503.0,20.0,7157300.0,265085.18518518517,702828.7280918686,3524181.0,14.0,1,0,0,0,480,560,3.352020381401259,3.9106904449681354,0.0,4848.0,394.2264150943397,833.3067502775046,694400.1400580554,0,0,0,27,52,0,0,0,1.0,401.8076923076923,257.25,511.5357142857143,0,0,0,9827,12,9826,12,3087,14,7161,65535,65535,9,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-142.251.42.234-59860-443-6,172.16.48.15,59860,142.251.42.234,443,6,06/03/2023 03:58:51 下午,3126568,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.9595185519713629,1563284.0,731567.0189613525,2080580.0,1045988.0,3126568.0,1563284.0,731567.0189613525,2080580.0,1045988.0,0,0,0,0,0,0,0,0,0,120,0,0.9595185519713629,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-109.244.244.91-51426-443-6,172.16.48.15,51426,109.244.244.91,443,6,06/03/2023 03:58:42 下午,124903,10,11,187.0,39435.0,141.0,0.0,18.699999999999996,45.338357564722905,11088.0,0.0,3585.0,3784.96914122163,317222.16439957405,168.13046924413345,6245.15,11789.732376209036,41412.0,18.0,124903.0,13878.11111111111,21638.392947747092,62787.0,48.0,82257.0,8225.699999999999,10751.788885266178,24907.0,18.0,1,0,0,0,200,220,80.06212821149212,88.06834103264133,0.0,11088.0,1807.4090909090908,3183.351478269268,1.0133726634199133E7,0,0,0,11,21,0,0,0,1.0,1893.4761904761904,18.7,3585.0,0,0,0,39622,11,474566,0,0,0,0,63900,65535,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-87.240.185.191-38570-443-6,172.16.48.15,38570,87.240.185.191,443,6,06/03/2023 03:58:52 下午,767049,9,8,418.0,4366.0,186.0,0.0,46.44444444444444,73.44404521659858,2788.0,0.0,545.75,1002.3596089798739,6236.889690228395,22.162860521296555,47940.56250000001,103120.66686037851,304591.0,11.0,767049.0,95881.125,133045.90012090615,304628.0,85.0,462427.0,66061.0,110279.09274502881,254533.0,11.0,0,0,0,0,200,164,11.733279099509941,10.429581421786613,0.0,2788.0,265.7777777777778,694.8086114434303,482759.00653594773,1,2,1,6,15,0,0,0,0.0,281.4117647058824,46.44444444444444,545.75,0,0,0,4784,6,10360,0,0,0,0,64240,65535,3,20,0,0,0,0,0,0,0,0,NeedManualLabel
