Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.48.15-10.128.1.114-48549-53-17,172.16.48.15,48549,10.128.1.114,53,17,06/03/2023 03:39:08 下午,2453218,1,1,34,50,34,34,34,0,50,50,50,0,34.24074012,0.815255717,2453218,0,2453218,2453218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.407627859,0.407627859,34,50,39.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,59,34,50,0,0,0,0,0,0,1,34,1,50,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
87.240.190.75-172.16.48.15-443-56770-6,87.240.190.75,443,172.16.48.15,56770,6,06/03/2023 03:39:05 下午,5755,2,1,318,128,318,0,159,224.8599564,128,128,128,0,77497.82798,521.2858384,2877.5,3104.905876,5073,682,5755,5755,0,5755,5755,0,0,0,0,0,1,0,0,0,40,20,347.5238923,173.7619461,0,318,191,155.6791572,24236,0,0,0,2,3,0,0,0,0,254.6666667,159,128,0,0,0,0,0,0,0,0,0,0,65535,63900,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-10.128.1.114-49973-53-17,172.16.48.15,49973,10.128.1.114,53,17,06/03/2023 03:39:08 下午,2071995,1,1,34,50,34,34,34,0,50,50,50,0,40.54063837,0.965253295,2071995,0,2071995,2071995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.482626647,0.482626647,34,50,39.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,59,34,50,0,0,0,0,0,0,1,34,1,50,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-95.142.206.31-43922-443-6,172.16.48.15,43922,95.142.206.31,443,6,06/03/2023 03:39:10 下午,1582365,54,64,1156,119084,517,0,21.40740741,89.47298918,5576,0,1860.6875,1183.632637,75987.525,74.57192241,13524.48718,40347.53029,276001,13,1582365,29855.9434,56841.82606,277175,146,1310795,20806.26984,43735.25552,276001,642,0,0,0,0,1100,1284,34.12613398,40.44578842,0,5576,1010.420168,1264.898854,1599969.11,0,2,0,62,117,0,0,0,1,1018.983051,21.40740741,1860.6875,0,0,0,120240,63,91784,0,0,0,0,64240,65535,5,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-172.217.160.106-49602-443-6,172.16.48.15,49602,172.217.160.106,443,6,06/03/2023 03:39:05 下午,7239664,4,0,0,0,0,0,0,0,0,0,0,0,0,0.552511829,2413221.333,1527870.711,4080009,1079075,7239664,2413221.333,1527870.711,4080009,1079075,0,0,0,0,0,0,0,0,0,160,0,0.552511829,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-10.128.1.114-49167-53-17,172.16.48.15,49167,10.128.1.114,53,17,06/03/2023 03:39:11 下午,8459,1,1,37,101,37,37,37,0,101,101,101,0,16313.9851,236.4345667,8459,0,8459,8459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,118.2172834,118.2172834,37,101,58.33333333,36.95041723,1365.333333,0,0,0,0,0,0,0,0,1,87.5,37,101,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-142.251.43.10-37986-443-6,172.16.48.15,37986,142.251.43.10,443,6,06/03/2023 03:38:58 下午,4084004,2,0,0,0,0,0,0,0,0,0,0,0,0,0.489715485,4084004,0,4084004,4084004,4084004,4084004,0,4084004,4084004,0,0,0,0,0,0,0,0,0,80,0,0.489715485,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-87.240.129.180-42076-443-6,172.16.48.15,42076,87.240.129.180,443,6,06/03/2023 03:39:04 下午,2850884,122,126,151891,6575,1460,0,1245.008197,471.0169146,2840,0,52.18253968,308.4726607,55584.8642,86.99056152,11542.04049,77363.80207,900027,1,2850884,23561.02479,129138.6362,1198138,1,2564004,20512.032,105964.01,900027,2,0,0,0,0,2460,2524,42.79374398,44.19681755,0,2840,636.4096386,716.562308,513461.5412,0,2,0,24,247,0,0,0,1,638.9758065,1245.008197,52.18253968,0,0,0,156021,121,136018,0,0,0,0,64240,65535,116,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-142.251.43.10-38000-443-6,172.16.48.15,38000,142.251.43.10,443,6,06/03/2023 03:39:11 下午,1030392,2,0,0,0,0,0,0,0,0,0,0,0,0,1.941008859,1030392,0,1030392,1030392,1030392,1030392,0,1030392,1030392,0,0,0,0,0,0,0,0,0,80,0,1.941008859,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.16.48.15-87.240.129.180-42056-443-6,172.16.48.15,42056,87.240.129.180,443,6,06/03/2023 03:39:04 下午,656,1,1,0,0,0,0,0,0,0,0,0,0,0,3048.780488,656,0,656,656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1524.390244,1524.390244,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,62846,65535,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
